id,uuid,name,status,address,uap_lap,vendor,appearance,company,company_type,lmp_version,manufacturer,firmware,ibeacon_range,created_at,updated_at,last_seen
51,3261866c-0aac-40ab-a531-8147ae3d173f,,offline,D0:03:4B:01:C3:7E,4B:01:C3:7E,"Apple, Inc.",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:20:40-04:00,2016-10-12T08:23:39-04:00,1476274837
52,d07314ba-e40a-4acd-989f-81e644282cb2,"[TV] Samsung",offline,5C:F6:DC:5E:88:FB,DC:5E:88:FB,"Samsung Electronics Co.,Ltd",,"Broadcom Corporation (15)",,,,,,2016-10-12T08:20:40-04:00,2016-10-12T08:35:39-04:00,1476274838
53,8bbd664a-0ba5-4b19-991c-56b8dc3098f1,,offline,29:DE:19:F1:7D:C5,19:F1:7D:C5,"N/A - Random Address",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:20:41-04:00,2016-10-12T08:23:40-04:00,1476274838
54,56327f06-bd11-420e-82c1-3fcb8357f52e,,offline,5C:F9:38:C1:72:51,38:C1:72:51,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:20:42-04:00,2016-10-12T08:23:40-04:00,1476274839
55,908dbf7c-834e-4ced-8f69-20b31821026e,,offline,D0:03:4B:EF:86:16,4B:EF:86:16,"Apple, Inc.",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:20:42-04:00,2016-10-12T08:23:42-04:00,1476274840
56,76ee544d-7af9-42fd-8d30-6161c61921f6,"[TV] UN55JS7000",offline,FC:F1:36:23:CE:D8,36:23:CE:D8,"Samsung Electronics Co.,Ltd",,"Broadcom Corporation (15)",,,,,,2016-10-12T08:21:25-04:00,2016-10-12T08:35:49-04:00,1476274847
57,f945d04c-e051-4653-8c99-ff8027f3dafc,,offline,45:42:36:CF:8C:87,36:CF:8C:87,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (12)",,,,,2016-10-12T08:22:47-04:00,2016-10-12T08:25:45-04:00,1476274964
58,876d4d33-a73d-4e3a-9fb2-2467d6d6edf6,,offline,E2:B5:EE:9C:0F:89,EE:9C:0F:89,"N/A - Random Address",,,,,,,,2016-10-12T08:22:50-04:00,2016-10-12T08:25:50-04:00,1476274969
59,a61c1903-7bc9-45c5-b4e0-91e29f930b20,,offline,71:FC:77:D8:0D:35,77:D8:0D:35,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:23:02-04:00,2016-10-12T08:26:02-04:00,1476274981
60,5a15316b-74bc-480c-ae8d-d14bc32fe0d0,,offline,5A:A2:65:4A:E7:8F,65:4A:E7:8F,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:23:07-04:00,2016-10-12T08:26:07-04:00,1476274986
61,09d1d39c-f87a-49a7-b7a2-e03ca18b1a58,,offline,60:03:08:B5:B3:74,08:B5:B3:74,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:23:09-04:00,2016-10-12T08:26:09-04:00,1476274988
62,034647c2-c107-4786-92df-1d6dc3cb4b81,,offline,4A:D4:89:B2:B3:1C,89:B2:B3:1C,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:23:31-04:00,2016-10-12T08:26:30-04:00,1476275009
63,5e3f1fd9-f973-4f42-8f32-58c503f8e029,,offline,00:A0:96:2A:78:7F,96:2A:78:7F,"MITSUMI ELECTRIC CO., LTD.",,,,,,,,2016-10-12T08:23:31-04:00,2016-10-12T08:38:31-04:00,1476275010
64,773f18d8-7cc3-4040-9154-9a23d67a8815,"PR BT 9425",offline,00:1F:FF:40:C9:A6,FF:40:C9:A6,"Respironics, Inc.",,,,,,,,2016-10-12T08:23:33-04:00,2016-10-12T08:38:34-04:00,1476275012
65,22e29e00-235e-473d-ad35-5eb24b2c54d4,,offline,68:64:4B:18:97:08,4B:18:97:08,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:23:35-04:00,2016-10-12T08:26:36-04:00,1476275014
66,ddd89659-75d8-415d-9f61-f66dbc2906ab,,offline,78:BD:BC:7B:08:F9,BC:7B:08:F9,"Samsung Electronics Co.,Ltd",,"Samsung Electronics Co. Ltd. (117)",,,,,,2016-10-12T08:23:53-04:00,2016-10-12T08:26:51-04:00,1476275030
67,abd1385c-1f58-4d22-8c30-73b2db4f45e1,,offline,FC:F1:36:C0:7F:35,36:C0:7F:35,"Samsung Electronics Co.,Ltd",,"Samsung Electronics Co. Ltd. (117)",,,,,,2016-10-12T08:23:54-04:00,2016-10-12T08:26:57-04:00,1476275034
68,c330de3a-6fa9-4346-9996-5235a2184ecc,"Beddit 4479",offline,94:54:93:02:7F:8F,93:02:7F:8F,"Rigado, LLC",,,,,,,,2016-10-12T08:23:58-04:00,2016-10-12T08:26:58-04:00,1476275037
69,f738f42b-8fa4-4941-bda3-93854d288fc1,,offline,5E:B7:F5:41:0E:D5,F5:41:0E:D5,"N/A - Random Address",,"Apple, Inc. (76)","Unknown (16)",,,,,2016-10-12T08:24:52-04:00,2016-10-12T08:27:53-04:00,1476275091
70,84050115-0f06-425c-a261-cbf928d055c1,,offline,10:40:F3:E9:00:A9,F3:E9:00:A9,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:25:06-04:00,2016-10-12T08:28:05-04:00,1476275104
71,6a0d38d6-6083-44dc-b3c1-06b939fbf71b,,offline,A4:31:35:10:FB:E0,35:10:FB:E0,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:25:06-04:00,2016-10-12T08:28:07-04:00,1476275105
72,11b5837e-5c7d-49c0-828b-62b89c39dc52,,offline,5C:F9:38:CA:A4:A2,38:CA:A4:A2,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:25:33-04:00,2016-10-12T08:28:28-04:00,1476275126
